task_id,asset_id,department,maintenance_type,corridor_id,section_id,task_date,deadline,risk_score,priority_score,required_duration_minutes,required_team_size,preferred_start_minute,max_delay_tolerance_minutes,can_bundle
TASK-018225,AST-083952,Electrical / TRD,Catenary Repair,COR-008,SEC-0077,2027-06-07,2027-06-14,63.7,49.1,172,5,120,0,No
TASK-018226,AST-112554,Track / Civil Engineering,Bridge Inspection,COR-016,SEC-0160,2028-03-24,2028-04-03,66.6,51.5,188,5,613,60,Yes
TASK-018227,AST-058912,Track / Civil Engineering,Rail Grinding,COR-019,SEC-0189,2026-09-17,2026-09-24,58.9,41.8,187,2,60,120,Yes
TASK-018228,AST-068412,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-018,SEC-0172,2026-12-25,2026-12-30,69.2,54.4,78,5,1320,15,No
TASK-018229,AST-053223,Track / Civil Engineering,Ballast Tamping,COR-018,SEC-0177,2026-07-20,2026-08-03,99.0,92.0,201,4,866,60,Yes
TASK-018230,AST-041120,Track / Civil Engineering,Ballast Tamping,COR-002,SEC-0015,2026-03-08,2026-03-10,48.8,40.1,146,6,1380,60,No
TASK-018231,AST-086537,Electrical / TRD,OHE Inspection,COR-017,SEC-0162,2027-07-02,2027-07-09,79.5,66.7,222,3,120,0,Yes
TASK-018232,AST-129465,Electrical / TRD,Switchgear Inspection,COR-003,SEC-0023,2028-09-12,2028-09-13,57.5,41.9,139,4,0,30,Yes
TASK-018233,AST-021359,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-016,SEC-0155,2025-08-12,2025-08-17,58.2,43.2,167,2,0,30,Yes
TASK-018234,AST-115543,Signal & Telecommunications (S&T),Telecom Inspection,COR-015,SEC-0145,2028-04-20,2028-04-30,89.0,87.8,140,4,1320,15,Yes
TASK-018235,AST-119447,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-019,SEC-0188,2028-06-09,2028-06-14,57.5,46.4,101,5,879,15,Yes
TASK-018236,AST-092839,Mechanical / Rolling Stock,Traction Motor Inspection,COR-012,SEC-0120,2027-09-09,2027-09-12,60.7,46.3,94,2,180,30,Yes
TASK-018237,AST-083709,Mechanical / Rolling Stock,Axle Inspection,COR-010,SEC-0092,2027-06-02,2027-06-04,92.9,86.6,164,3,180,30,Yes
TASK-018238,AST-020999,Mechanical / Rolling Stock,Traction Motor Inspection,COR-006,SEC-0059,2025-08-20,2025-08-22,80.2,69.2,71,3,1010,30,Yes
TASK-018239,AST-014144,Signal & Telecommunications (S&T),Telecom Inspection,COR-001,SEC-0009,2025-06-08,2025-06-22,58.8,43.2,139,2,120,0,Yes
TASK-018240,AST-016035,Mechanical / Rolling Stock,Brake Inspection,COR-011,SEC-0110,2025-06-29,2025-07-01,50.5,43.0,131,6,17,15,No
TASK-018241,AST-028220,Track / Civil Engineering,Rail Inspection,COR-013,SEC-0129,2025-11-04,2025-11-07,72.2,57.1,114,3,1320,15,Yes
TASK-018242,AST-054505,Track / Civil Engineering,Ballast Tamping,COR-013,SEC-0128,2026-07-24,2026-07-27,57.0,45.0,168,5,180,0,Yes
TASK-018243,AST-069939,Track / Civil Engineering,Bridge Inspection,COR-020,SEC-0196,2027-01-05,2027-01-07,56.7,43.1,111,4,120,15,Yes
TASK-018244,AST-128552,Electrical / TRD,Feeder Maintenance,COR-020,SEC-0200,2028-09-05,2028-09-06,60.2,47.7,169,5,622,0,No
TASK-018245,AST-104115,Track / Civil Engineering,Bridge Inspection,COR-015,SEC-0145,2028-01-04,2028-01-09,50.1,37.6,134,2,60,60,Yes
TASK-018246,AST-008216,Electrical / TRD,Feeder Maintenance,COR-003,SEC-0025,2025-04-02,2025-04-03,62.5,50.9,175,4,1380,60,Yes
TASK-018247,AST-021961,Mechanical / Rolling Stock,Traction Motor Inspection,COR-016,SEC-0154,2025-08-25,2025-08-28,85.5,83.3,124,6,0,0,Yes
TASK-018248,AST-023571,Track / Civil Engineering,Sleeper Replacement,COR-002,SEC-0018,2025-09-14,2025-09-17,83.6,72.0,105,2,457,60,Yes
TASK-018249,AST-081914,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-014,SEC-0135,2027-05-16,2027-05-23,93.6,88.8,66,4,62,60,Yes
TASK-018250,AST-041940,Mechanical / Rolling Stock,Brake Inspection,COR-012,SEC-0115,2026-03-27,2026-03-28,90.4,87.0,107,6,777,60,No
TASK-018251,AST-018761,Track / Civil Engineering,Ballast Tamping,COR-012,SEC-0119,2025-07-25,2025-08-08,81.1,65.9,106,2,1316,120,Yes
TASK-018252,AST-032138,Signal & Telecommunications (S&T),Relay Testing,COR-002,SEC-0012,2025-12-06,2025-12-11,68.0,56.1,130,4,0,60,Yes
TASK-018253,AST-145040,Track / Civil Engineering,Turnout Maintenance,COR-014,SEC-0135,2029-02-21,2029-02-28,58.9,44.9,143,5,60,30,Yes
TASK-018254,AST-011399,Track / Civil Engineering,Rail Grinding,COR-005,SEC-0047,2025-05-10,2025-05-13,70.8,60.8,117,3,180,15,No
TASK-018255,AST-010496,Electrical / TRD,Catenary Repair,COR-002,SEC-0020,2025-05-02,2025-05-03,94.4,88.3,102,3,826,0,Yes
TASK-018256,AST-041267,Mechanical / Rolling Stock,Brake Inspection,COR-011,SEC-0109,2026-03-07,2026-03-08,68.8,50.6,52,3,1320,60,Yes
TASK-018257,AST-109128,Track / Civil Engineering,Sleeper Replacement,COR-005,SEC-0045,2028-02-19,2028-03-04,91.5,82.3,141,5,1320,15,Yes
TASK-018258,AST-028092,Electrical / TRD,Catenary Repair,COR-004,SEC-0034,2025-10-31,2025-11-01,66.9,54.0,136,2,785,30,No
TASK-018259,AST-070639,Track / Civil Engineering,Rail Inspection,COR-015,SEC-0144,2027-01-17,2027-01-27,87.9,84.5,132,6,1380,30,Yes
TASK-018260,AST-031575,Track / Civil Engineering,Rail Inspection,COR-002,SEC-0013,2025-12-05,2025-12-15,75.8,61.8,121,4,33,15,No
TASK-018261,AST-062804,Signal & Telecommunications (S&T),Telecom Inspection,COR-018,SEC-0179,2026-10-31,2026-11-07,66.5,51.8,110,5,134,60,Yes
TASK-018262,AST-081421,Electrical / TRD,Transformer Inspection,COR-018,SEC-0179,2027-04-30,2027-05-10,99.0,94.4,108,3,1386,0,No
TASK-018263,AST-004353,Track / Civil Engineering,Sleeper Replacement,COR-004,SEC-0039,2025-02-22,2025-02-23,98.2,89.1,165,2,1380,30,Yes
TASK-018264,AST-033655,Electrical / TRD,Transformer Inspection,COR-017,SEC-0168,2025-12-22,2026-01-05,77.9,68.5,112,6,120,60,No
TASK-018265,AST-045331,Track / Civil Engineering,Rail Grinding,COR-017,SEC-0163,2026-04-30,2026-05-01,99.0,89.4,124,5,120,30,Yes
TASK-018266,AST-074884,Track / Civil Engineering,Rail Inspection,COR-007,SEC-0065,2027-03-03,2027-03-08,47.7,40.1,197,4,1380,15,No
TASK-018267,AST-013801,Track / Civil Engineering,Rail Grinding,COR-020,SEC-0192,2025-06-02,2025-06-05,84.0,67.4,220,2,180,60,Yes
TASK-018268,AST-039820,Track / Civil Engineering,Turnout Maintenance,COR-014,SEC-0133,2026-03-03,2026-03-17,76.1,65.4,164,4,694,15,Yes
TASK-018269,AST-035796,Mechanical / Rolling Stock,Wheelset Inspection,COR-014,SEC-0135,2026-01-21,2026-01-31,52.9,36.1,89,2,0,120,No
TASK-018270,AST-099340,Electrical / TRD,Catenary Repair,COR-002,SEC-0017,2027-11-14,2027-11-15,63.7,53.0,137,4,120,30,Yes
TASK-018271,AST-145650,Track / Civil Engineering,Sleeper Replacement,COR-019,SEC-0186,2029-03-01,2029-03-11,99.0,92.5,135,3,907,120,No
TASK-018272,AST-115417,Track / Civil Engineering,Sleeper Replacement,COR-003,SEC-0022,2028-04-28,2028-05-12,99.0,90.7,150,6,256,120,Yes
TASK-018273,AST-008163,Mechanical / Rolling Stock,Traction Motor Inspection,COR-019,SEC-0186,2025-04-08,2025-04-10,86.7,84.4,123,5,180,0,Yes
TASK-018274,AST-041272,Track / Civil Engineering,Rail Grinding,COR-017,SEC-0168,2026-03-12,2026-03-19,81.3,70.3,197,4,120,120,Yes
TASK-018275,AST-016264,Electrical / TRD,Substation Maintenance,COR-006,SEC-0057,2025-06-23,2025-06-24,99.0,91.0,111,5,120,30,No
TASK-018276,AST-100119,Electrical / TRD,Switchgear Inspection,COR-014,SEC-0134,2027-11-15,2027-11-29,70.2,65.3,96,3,1110,30,Yes
TASK-018277,AST-109597,Track / Civil Engineering,Bridge Inspection,COR-004,SEC-0037,2028-02-20,2028-02-25,72.8,61.0,173,6,180,0,Yes
TASK-018278,AST-086334,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-008,SEC-0076,2027-06-25,2027-06-28,58.2,43.9,112,3,1140,60,No
TASK-018279,AST-025103,Mechanical / Rolling Stock,Bearing Inspection,COR-018,SEC-0177,2025-09-21,2025-09-22,71.2,59.0,83,2,0,30,Yes
TASK-018280,AST-129007,Track / Civil Engineering,Rail Inspection,COR-005,SEC-0049,2028-09-11,2028-09-21,61.9,52.5,148,4,847,30,No
TASK-018281,AST-015575,Track / Civil Engineering,Rail Grinding,COR-005,SEC-0048,2025-06-19,2025-06-24,99.0,87.7,177,5,0,30,No
TASK-018282,AST-070500,Electrical / TRD,OHE Inspection,COR-013,SEC-0125,2027-01-19,2027-01-26,82.3,70.2,134,4,52,60,No
TASK-018283,AST-006048,Track / Civil Engineering,Turnout Maintenance,COR-001,SEC-0007,2025-03-14,2025-03-21,73.9,65.9,160,3,971,30,Yes
TASK-018284,AST-015542,Signal & Telecommunications (S&T),Relay Testing,COR-013,SEC-0126,2025-06-25,2025-07-02,50.0,43.8,130,5,6,60,Yes
TASK-018285,AST-026728,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-015,SEC-0141,2025-10-11,2025-10-18,99.0,93.8,61,2,1376,30,Yes
TASK-018286,AST-047199,Track / Civil Engineering,Rail Inspection,COR-002,SEC-0011,2026-05-15,2026-05-18,62.1,45.3,163,3,1028,15,No
TASK-018287,AST-006298,Track / Civil Engineering,Bridge Inspection,COR-018,SEC-0176,2025-03-09,2025-03-11,59.7,50.8,188,3,180,30,No
TASK-018288,AST-071051,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-015,SEC-0149,2027-01-19,2027-01-22,77.6,59.7,139,5,120,120,Yes
TASK-018289,AST-111798,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-018,SEC-0174,2028-03-14,2028-03-15,67.5,50.7,90,3,681,60,No
TASK-018290,AST-145606,Signal & Telecommunications (S&T),Relay Testing,COR-016,SEC-0158,2029-03-09,2029-03-14,56.7,44.2,121,2,1380,30,Yes
TASK-018291,AST-042354,Mechanical / Rolling Stock,Brake Inspection,COR-004,SEC-0034,2026-03-24,2026-03-25,89.4,86.5,133,2,120,15,Yes
TASK-018292,AST-097138,Track / Civil Engineering,Rail Grinding,COR-013,SEC-0127,2027-10-23,2027-10-24,82.1,67.2,146,5,910,30,Yes
TASK-018293,AST-055409,Track / Civil Engineering,Sleeper Replacement,COR-006,SEC-0060,2026-08-09,2026-08-10,84.0,69.0,168,6,1,0,Yes
TASK-018294,AST-146073,Track / Civil Engineering,Bridge Inspection,COR-005,SEC-0050,2029-03-03,2029-03-04,62.5,48.4,204,2,531,30,Yes
TASK-018295,AST-137525,Track / Civil Engineering,Ballast Tamping,COR-004,SEC-0033,2028-12-17,2028-12-31,57.8,47.0,152,6,1380,15,Yes
TASK-018296,AST-034850,Track / Civil Engineering,Sleeper Replacement,COR-010,SEC-0093,2026-01-09,2026-01-19,99.0,99.7,176,4,180,60,No
TASK-018297,AST-023244,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-006,SEC-0060,2025-09-04,2025-09-06,61.8,45.8,106,3,60,60,No
TASK-018298,AST-073379,Track / Civil Engineering,Turnout Maintenance,COR-018,SEC-0176,2027-02-17,2027-02-27,96.9,89.2,205,3,1320,30,Yes
TASK-018299,AST-100583,Track / Civil Engineering,Turnout Maintenance,COR-009,SEC-0088,2027-11-25,2027-11-28,99.0,92.1,124,3,0,30,Yes
TASK-018300,AST-063694,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-002,SEC-0014,2026-11-07,2026-11-10,71.9,63.4,84,2,1261,30,No
TASK-018301,AST-056354,Track / Civil Engineering,Turnout Maintenance,COR-018,SEC-0174,2026-08-23,2026-08-26,99.0,94.7,147,2,0,0,Yes
TASK-018302,AST-100679,Signal & Telecommunications (S&T),Relay Testing,COR-016,SEC-0159,2027-11-18,2027-11-20,83.1,73.1,92,2,120,60,Yes
TASK-018303,AST-054974,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-014,SEC-0134,2026-08-09,2026-08-12,79.6,65.6,132,2,60,15,Yes
TASK-018304,AST-068256,Track / Civil Engineering,Turnout Maintenance,COR-016,SEC-0156,2026-12-24,2026-12-25,99.0,91.2,143,6,120,15,Yes
TASK-018305,AST-062883,Track / Civil Engineering,Rail Grinding,COR-019,SEC-0185,2026-10-19,2026-10-21,99.0,89.9,148,3,722,60,Yes
TASK-018306,AST-003708,Track / Civil Engineering,Rail Grinding,COR-015,SEC-0149,2025-02-18,2025-02-19,99.0,97.1,232,4,60,15,Yes
TASK-018307,AST-102972,Electrical / TRD,Transformer Inspection,COR-015,SEC-0141,2027-12-21,2027-12-26,64.0,55.5,99,3,60,60,No
TASK-018308,AST-094099,Track / Civil Engineering,Rail Inspection,COR-002,SEC-0014,2027-09-18,2027-09-25,99.0,96.6,173,4,1419,60,Yes
TASK-018309,AST-147454,Track / Civil Engineering,Sleeper Replacement,COR-014,SEC-0134,2029-03-24,2029-03-25,96.6,94.3,164,5,1380,15,Yes
TASK-018310,AST-112230,Signal & Telecommunications (S&T),Signal Inspection,COR-001,SEC-0008,2028-03-17,2028-03-20,83.3,66.4,105,3,467,15,Yes
TASK-018311,AST-092825,Electrical / TRD,Feeder Maintenance,COR-016,SEC-0155,2027-08-29,2027-09-05,89.9,83.4,141,3,1380,30,Yes
TASK-018312,AST-029183,Electrical / TRD,OHE Inspection,COR-006,SEC-0054,2025-11-07,2025-11-09,63.0,46.4,163,4,8,30,Yes
TASK-018313,AST-011073,Mechanical / Rolling Stock,Brake Inspection,COR-006,SEC-0054,2025-05-06,2025-05-13,94.7,87.2,70,5,1380,60,No
TASK-018314,AST-070874,Track / Civil Engineering,Turnout Maintenance,COR-008,SEC-0076,2027-01-22,2027-01-23,94.9,90.6,109,3,120,15,Yes
TASK-018315,AST-037891,Mechanical / Rolling Stock,Axle Inspection,COR-002,SEC-0013,2026-02-07,2026-02-17,69.0,52.1,115,5,276,15,No
TASK-018316,AST-113762,Track / Civil Engineering,Turnout Maintenance,COR-013,SEC-0126,2028-04-13,2028-04-23,69.7,61.7,131,6,1320,60,Yes
TASK-018317,AST-007936,Track / Civil Engineering,Ballast Tamping,COR-012,SEC-0114,2025-04-04,2025-04-07,62.8,45.0,147,6,180,0,Yes
TASK-018318,AST-089794,Track / Civil Engineering,Ballast Tamping,COR-008,SEC-0075,2027-07-28,2027-08-07,93.0,85.1,139,3,1320,60,Yes
TASK-018319,AST-038381,Track / Civil Engineering,Rail Inspection,COR-004,SEC-0036,2026-02-05,2026-02-19,85.5,76.4,140,3,131,15,Yes
TASK-018320,AST-048453,Mechanical / Rolling Stock,Bearing Inspection,COR-009,SEC-0090,2026-05-26,2026-05-28,96.3,88.8,85,2,1216,0,No
TASK-018321,AST-007819,Mechanical / Rolling Stock,Axle Inspection,COR-002,SEC-0015,2025-03-30,2025-04-06,59.7,48.9,117,5,355,30,No
TASK-018322,AST-092986,Track / Civil Engineering,Ballast Tamping,COR-001,SEC-0003,2027-08-28,2027-09-04,91.1,84.7,140,5,235,0,No
TASK-018323,AST-093026,Track / Civil Engineering,Sleeper Replacement,COR-004,SEC-0040,2027-09-02,2027-09-05,69.5,55.4,214,5,0,15,No
TASK-018324,AST-120236,Track / Civil Engineering,Turnout Maintenance,COR-014,SEC-0139,2028-06-13,2028-06-16,95.1,91.8,269,5,60,60,Yes
TASK-018325,AST-110119,Electrical / TRD,OHE Inspection,COR-017,SEC-0161,2028-03-04,2028-03-11,64.8,53.4,65,5,0,60,Yes
TASK-018326,AST-118429,Mechanical / Rolling Stock,Brake Inspection,COR-016,SEC-0158,2028-05-25,2028-05-27,61.5,49.5,45,5,928,15,No
TASK-018327,AST-000752,Track / Civil Engineering,Bridge Inspection,COR-016,SEC-0151,2025-01-11,2025-01-13,67.1,50.4,134,5,180,60,Yes
TASK-018328,AST-119005,Mechanical / Rolling Stock,Wheelset Inspection,COR-005,SEC-0041,2028-05-26,2028-05-31,83.4,66.5,127,6,1205,30,No
TASK-018329,AST-133469,Mechanical / Rolling Stock,Traction Motor Inspection,COR-019,SEC-0185,2028-10-31,2028-11-07,84.2,69.1,95,5,60,30,Yes
TASK-018330,AST-029939,Electrical / TRD,Substation Maintenance,COR-003,SEC-0028,2025-11-17,2025-11-24,60.4,46.5,149,4,586,30,Yes
TASK-018331,AST-057015,Signal & Telecommunications (S&T),Telecom Inspection,COR-008,SEC-0075,2026-08-18,2026-08-21,58.4,44.1,110,4,59,30,Yes
TASK-018332,AST-063093,Track / Civil Engineering,Sleeper Replacement,COR-010,SEC-0091,2026-10-24,2026-11-03,66.0,56.6,119,4,914,60,Yes
TASK-018333,AST-097054,Electrical / TRD,Substation Maintenance,COR-001,SEC-0002,2027-10-17,2027-10-18,57.5,39.9,138,6,1380,30,Yes
TASK-018334,AST-041321,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-016,SEC-0155,2026-03-13,2026-03-14,80.7,71.7,152,5,649,60,Yes
TASK-018335,AST-079138,Track / Civil Engineering,Rail Inspection,COR-013,SEC-0121,2027-04-16,2027-04-19,86.2,87.2,156,5,60,30,No
TASK-018336,AST-144891,Electrical / TRD,Feeder Maintenance,COR-008,SEC-0076,2029-03-01,2029-03-02,75.3,63.9,83,4,673,15,No
TASK-018337,AST-064778,Track / Civil Engineering,Turnout Maintenance,COR-004,SEC-0031,2026-11-16,2026-11-18,86.1,88.6,72,2,270,15,Yes
TASK-018338,AST-084579,Track / Civil Engineering,Turnout Maintenance,COR-013,SEC-0127,2027-06-04,2027-06-05,71.2,64.5,146,3,335,0,Yes
TASK-018339,AST-097183,Track / Civil Engineering,Turnout Maintenance,COR-001,SEC-0001,2027-10-23,2027-10-30,70.9,60.2,164,5,230,60,Yes
TASK-018340,AST-071941,Track / Civil Engineering,Sleeper Replacement,COR-017,SEC-0161,2027-02-03,2027-02-05,89.3,81.4,176,4,92,30,No
TASK-018341,AST-065238,Track / Civil Engineering,Rail Grinding,COR-006,SEC-0058,2026-11-23,2026-11-25,74.3,63.5,138,6,407,60,No
TASK-018342,AST-146638,Track / Civil Engineering,Bridge Inspection,COR-011,SEC-0105,2029-03-20,2029-03-30,87.2,80.8,129,5,180,120,Yes
TASK-018343,AST-113413,Signal & Telecommunications (S&T),Relay Testing,COR-017,SEC-0161,2028-04-08,2028-04-13,89.1,84.1,87,3,8,15,No
TASK-018344,AST-041570,Signal & Telecommunications (S&T),Signal Inspection,COR-002,SEC-0018,2026-03-23,2026-03-26,99.0,89.3,45,4,60,120,No
TASK-018345,AST-117324,Track / Civil Engineering,Bridge Inspection,COR-016,SEC-0159,2028-05-17,2028-05-22,65.7,47.1,159,3,180,60,Yes
TASK-018346,AST-142672,Track / Civil Engineering,Ballast Tamping,COR-007,SEC-0065,2029-02-08,2029-02-11,99.0,97.1,157,6,180,30,Yes
TASK-018347,AST-032491,Track / Civil Engineering,Rail Inspection,COR-009,SEC-0082,2025-12-19,2026-01-02,86.6,85.8,195,6,180,60,Yes
TASK-018348,AST-042390,Track / Civil Engineering,Turnout Maintenance,COR-020,SEC-0194,2026-03-29,2026-04-03,84.8,70.9,105,5,46,15,Yes
TASK-018349,AST-113665,Electrical / TRD,OHE Inspection,COR-008,SEC-0071,2028-04-03,2028-04-13,86.2,78.4,108,4,60,30,Yes
TASK-018350,AST-059274,Track / Civil Engineering,Rail Grinding,COR-020,SEC-0195,2026-09-20,2026-09-25,63.6,50.5,192,4,180,15,No
TASK-018351,AST-077927,Electrical / TRD,Catenary Repair,COR-004,SEC-0033,2027-03-28,2027-04-11,93.3,85.1,86,3,429,60,Yes
TASK-018352,AST-022498,Track / Civil Engineering,Bridge Inspection,COR-011,SEC-0108,2025-08-29,2025-09-01,96.4,96.0,84,2,120,0,No
TASK-018353,AST-089846,Mechanical / Rolling Stock,Coach Equipment Maintenance,COR-014,SEC-0131,2027-07-30,2027-08-01,54.8,40.5,136,3,1320,0,Yes
TASK-018354,AST-068804,Track / Civil Engineering,Rail Inspection,COR-015,SEC-0147,2026-12-31,2027-01-01,75.6,66.2,182,4,512,15,No
TASK-018355,AST-120708,Signal & Telecommunications (S&T),Signal Inspection,COR-009,SEC-0083,2028-06-16,2028-06-17,70.6,57.6,154,4,0,15,Yes
TASK-018356,AST-046153,Electrical / TRD,Catenary Repair,COR-006,SEC-0058,2026-05-01,2026-05-04,92.2,88.8,134,5,180,30,No
TASK-018357,AST-106187,Mechanical / Rolling Stock,Axle Inspection,COR-015,SEC-0149,2028-01-25,2028-02-08,75.5,71.3,156,5,1380,120,Yes
TASK-018358,AST-031477,Track / Civil Engineering,Bridge Inspection,COR-016,SEC-0153,2025-11-27,2025-11-29,86.5,85.7,124,2,1380,15,No
TASK-018359,AST-128145,Track / Civil Engineering,Sleeper Replacement,COR-005,SEC-0041,2028-09-05,2028-09-07,99.0,88.6,149,6,180,15,Yes
TASK-018360,AST-044361,Electrical / TRD,Catenary Repair,COR-007,SEC-0063,2026-04-17,2026-04-19,78.0,69.6,181,3,60,15,No
TASK-018361,AST-043305,Mechanical / Rolling Stock,Brake Inspection,COR-008,SEC-0074,2026-04-11,2026-04-12,99.0,94.9,136,6,748,120,Yes
TASK-018362,AST-017048,Mechanical / Rolling Stock,Wheelset Inspection,COR-014,SEC-0136,2025-07-10,2025-07-24,62.2,48.2,125,5,0,60,Yes
TASK-018363,AST-058421,Mechanical / Rolling Stock,Traction Motor Inspection,COR-013,SEC-0123,2026-09-10,2026-09-17,55.7,37.1,86,6,60,30,Yes
TASK-018364,AST-062849,Track / Civil Engineering,Ballast Tamping,COR-007,SEC-0061,2026-10-29,2026-11-05,68.5,55.1,139,5,180,60,Yes
TASK-018365,AST-145550,Signal & Telecommunications (S&T),Point Machine Maintenance,COR-006,SEC-0056,2029-03-10,2029-03-17,78.3,67.1,116,5,24,120,Yes
TASK-018366,AST-142704,Track / Civil Engineering,Bridge Inspection,COR-017,SEC-0167,2029-02-06,2029-02-11,71.6,64.5,159,6,1380,15,Yes
TASK-018367,AST-078032,Mechanical / Rolling Stock,Axle Inspection,COR-001,SEC-0002,2027-03-25,2027-04-04,84.4,68.9,161,2,0,15,No
TASK-018368,AST-047193,Electrical / TRD,Transformer Inspection,COR-012,SEC-0111,2026-05-09,2026-05-14,61.2,43.7,189,2,65,30,Yes
TASK-018369,AST-066673,Signal & Telecommunications (S&T),Interlocking Maintenance,COR-003,SEC-0027,2026-12-09,2026-12-10,46.2,40.6,134,6,0,15,Yes
TASK-018370,AST-024246,Electrical / TRD,Switchgear Inspection,COR-004,SEC-0036,2025-09-15,2025-09-22,60.7,46.5,87,5,0,60,Yes
TASK-018371,AST-074194,Track / Civil Engineering,Ballast Tamping,COR-019,SEC-0185,2027-02-17,2027-02-20,71.9,64.1,162,4,1320,30,Yes
TASK-018372,AST-103759,Track / Civil Engineering,Sleeper Replacement,COR-009,SEC-0082,2027-12-25,2027-12-30,93.7,87.3,182,3,1380,0,Yes
TASK-018373,AST-129840,Track / Civil Engineering,Sleeper Replacement,COR-013,SEC-0123,2028-09-28,2028-10-01,91.1,81.0,170,5,120,120,Yes
TASK-018374,AST-121832,Electrical / TRD,Switchgear Inspection,COR-004,SEC-0036,2028-06-26,2028-06-29,70.1,56.4,154,5,0,0,Yes
TASK-018375,AST-077798,Track / Civil Engineering,Rail Inspection,COR-020,SEC-0197,2027-03-28,2027-03-30,99.0,88.9,170,5,1320,15,No
TASK-018376,AST-112262,Electrical / TRD,Feeder Maintenance,COR-004,SEC-0037,2028-03-22,2028-03-24,72.0,61.8,121,5,120,0,Yes
TASK-018377,AST-095750,Mechanical / Rolling Stock,Traction Motor Inspection,COR-007,SEC-0062,2027-10-09,2027-10-23,59.4,41.3,52,3,180,120,No
TASK-018378,AST-102918,Track / Civil Engineering,Sleeper Replacement,COR-016,SEC-0158,2027-12-18,2028-01-01,81.1,68.0,190,3,865,30,Yes
TASK-018379,AST-143606,Electrical / TRD,Substation Maintenance,COR-017,SEC-0166,2029-02-11,2029-02-12,99.0,93.7,116,6,0,30,No
TASK-018380,AST-042744,Track / Civil Engineering,Rail Grinding,COR-013,SEC-0123,2026-03-29,2026-04-08,82.9,69.9,93,2,1119,0,Yes
TASK-018381,AST-055253,Signal & Telecommunications (S&T),Axle Counter Inspection,COR-009,SEC-0085,2026-08-10,2026-08-17,83.3,77.3,61,4,0,0,Yes
TASK-018382,AST-109081,Track / Civil Engineering,Rail Inspection,COR-013,SEC-0130,2028-02-13,2028-02-18,55.5,42.1,156,5,280,30,Yes
TASK-018383,AST-022293,Track / Civil Engineering,Bridge Inspection,COR-008,SEC-0076,2025-08-24,2025-09-03,67.3,49.6,183,6,32,30,No
TASK-018384,AST-149394,Electrical / TRD,Catenary Repair,COR-008,SEC-0080,2029-04-12,2029-04-26,80.1,70.3,124,4,1380,0,Yes
TASK-018385,AST-025936,Electrical / TRD,Substation Maintenance,COR-008,SEC-0076,2025-10-02,2025-10-16,63.1,46.8,205,3,120,0,Yes
TASK-018386,AST-143942,Electrical / TRD,OHE Inspection,COR-006,SEC-0058,2029-02-22,2029-02-25,69.0,58.2,129,5,929,30,No
TASK-018387,AST-111799,Mechanical / Rolling Stock,Brake Inspection,COR-009,SEC-0086,2028-03-21,2028-03-24,70.2,57.0,132,3,1307,30,No
TASK-018388,AST-077516,Track / Civil Engineering,Turnout Maintenance,COR-009,SEC-0088,2027-03-30,2027-04-02,79.5,65.4,129,5,1256,60,Yes
TASK-018389,AST-118342,Track / Civil Engineering,Ballast Tamping,COR-010,SEC-0095,2028-05-19,2028-05-22,78.4,62.9,174,5,120,120,Yes
TASK-018390,AST-116390,Track / Civil Engineering,Turnout Maintenance,COR-008,SEC-0077,2028-05-02,2028-05-07,30.9,29.5,156,5,1300,15,Yes
TASK-018391,AST-061936,Track / Civil Engineering,Turnout Maintenance,COR-008,SEC-0076,2026-10-21,2026-10-26,90.4,85.5,120,3,180,30,No
TASK-018392,AST-040604,Track / Civil Engineering,Ballast Tamping,COR-009,SEC-0084,2026-03-04,2026-03-11,56.3,42.4,160,6,1388,30,Yes
TASK-018393,AST-110357,Electrical / TRD,Substation Maintenance,COR-010,SEC-0096,2028-02-27,2028-02-29,62.1,50.8,141,3,0,30,Yes
TASK-018394,AST-001807,Track / Civil Engineering,Rail Grinding,COR-008,SEC-0072,2025-01-23,2025-02-02,99.0,92.3,109,5,140,120,Yes
TASK-018395,AST-110312,Mechanical / Rolling Stock,Traction Motor Inspection,COR-018,SEC-0175,2028-02-26,2028-02-27,88.4,84.4,146,2,1320,0,Yes
TASK-018396,AST-135968,Track / Civil Engineering,Sleeper Replacement,COR-017,SEC-0163,2028-11-30,2028-12-03,50.4,43.7,128,3,60,15,Yes
TASK-018397,AST-097939,Electrical / TRD,Transformer Inspection,COR-019,SEC-0184,2027-11-01,2027-11-11,69.6,55.2,120,4,180,60,Yes
TASK-018398,AST-039949,Track / Civil Engineering,Rail Grinding,COR-019,SEC-0186,2026-02-22,2026-02-27,67.4,51.4,238,2,242,30,Yes
TASK-018399,AST-082435,Track / Civil Engineering,Rail Grinding,COR-001,SEC-0002,2027-05-17,2027-05-22,99.0,92.4,213,4,60,0,Yes
